"ID","fk","DESCORGAO","IDORGAO","IDSUBORDINADOR","NIVEL","Subordinada","Unidade","Título","DESCORGAO_SUBORDINADOR"
"123454","916.817","Supervisão de Análise de Faturas e Reembolso","817","916","1","SUFAT","SESBE","916.817","Secretaria de Saúde, Qualidade de Vida e Bem-Estar"
"123455","543.546","Serviço de Contratos","546","543","2","SERCO","SEGEDAM","543.546","Secretaria-Geral de Administração"
"123456","939.939","Terceira Divisão de Fiscalização de Educação, Áreas Sociais e Saúde Pública","939","939","4","DIASP3","DIASP3","939.939","Terceira Divisão de Fiscalização de Educação, Áreas Sociais e Saúde Pública"
"123457","1049.1049","Secretaria de Gestão de Documentos e da Informação","1.049","1.049","4","SEGEDOC","SEGEDOC","1049.1049","Secretaria de Gestão de Documentos e da Informação"
"123458","1049.1051","Serviço de Memória Institucional","1.051","1.049","1","SEMEMO","SEGEDOC","1049.1051","Secretaria de Gestão de Documentos e da Informação"
"123459","962.962","Copa 6º Andar","962","962","4","Copa 6º Andar","Copa 6º Andar","962.962","Copa 6º Andar"
"123460","795.796","Gerência de Segurança Cibernética","796","795","1","GESCIB","COIPE","795.796","Coordenação de Inovação e Projetos Especiais"
"123461","682.961","Copa 5º Andar","961","682","3","Copa 5º Andar","SGA","682.961","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"123462","555.981","Recepção Hall Norte 7° Andar","981","555","1","Recepção Hall N","SESOP","555.981","Serviço de Segurança e Suporte Operacional"
"123463","926.993","Central Telefônica","993","926","3","PABX","CGCI","926.993","Coordenadoria de Gestão do Conhecimento Institucional"
"123464","816.816","Supervisão de Credenciamento, Contratos e Convênios","816","816","4","SUCRED","SUCRED","816.816","Supervisão de Credenciamento, Contratos e Convênios"
"123465","935.442","Comitê de Controle de Qualidade das Auditorias do TCDF","442","935","1","CCQA","SEASP","935.442","Secretaria de Fiscalização de Educação, Áreas Sociais e Saúde Pública"
"123466","678.232","Serviço de Execução Financeira","232","678","3","SEFIN","PRESIDÊNCIA","678.232","Presidência"
"123467","968.968","Divisão de Avaliação de Políticas Públicas","968","968","4","DIAPP","DIAPP","968.968","Divisão de Avaliação de Políticas Públicas"
"123468","254.254","Serviço de Transportes","254","254","4","SETRA","SETRA","254.254","Serviço de Transportes"
"123469","904.904","Ateliê de Software","904","904","4","ATELIE","ATELIE","904.904","Ateliê de Software"
"123470","682.992","Guarita Estacionamento SEDE","992","682","3","Guarita SEDE","SGA","682.992","Supervisão de Sistemas de Informação, Legislação e Jurisprudência"
"123471","678.508","2ª Divisão de Contas","508","678","3","DICONT2","PRESIDÊNCIA","678.508","Presidência"
"123472","993.993","Central Telefônica","993","993","4","PABX","PABX","993.993","Central Telefônica"
